group_id,source,n_images,n_plates,original_train,original_test
g_e0dc0898b6a91858,uc3m,4,5,4,0
g_f0e963fe06316b84,uc3m,4,4,3,1
g_fb5ebad9c30cf86d,uc3m,4,5,4,0
g_017aa27d6ddedc6f,uc3m,3,3,2,1
g_090c02fcf3b7cf56,uc3m,3,4,3,0
g_0afeebbb3301f978,uc3m,3,5,2,1
g_0f438c3ccd3331a9,uc3m,3,3,3,0
g_0fef6a991fc155a0,uc3m,3,3,3,0
g_17789b421391d506,uc3m,3,3,3,0
g_1f7b3cb1fc8a66f0,uc3m,3,3,3,0
g_273028a430aea586,uc3m,3,3,1,2
g_276eb52d3d14888a,uc3m,3,3,1,2
g_2bdfda99c452d370,uc3m,3,6,1,2
g_2d0c47a8bd5d4258,uc3m,3,4,3,0
g_2e386f7f61387ebb,uc3m,3,3,3,0
g_32017e2589cd5f7f,uc3m,3,3,1,2
g_3565ead3c1729268,uc3m,3,3,3,0
g_5642614f5c4775bf,uc3m,3,3,1,2
g_6113803fb1117fb5,uc3m,3,4,2,1
g_6794dbde95084d24,uc3m,3,3,2,1
g_7e2e965693363981,uc3m,3,3,3,0
g_7f4c685a8be77161,cv,3,3,0,0
g_7f4ed6de8ae25ec9,uc3m,3,3,1,2
g_8fcfb95a807f0a47,uc3m,3,4,2,1
g_92c99f387835d2f6,uc3m,3,4,2,1
g_9d4908ef77be88d2,uc3m,3,3,0,3
g_9eddf3ca72efbbdb,uc3m,3,4,3,0
g_ab0c8b29908a771e,uc3m,3,3,1,2
g_ad4a088ff40160cf,uc3m,3,3,1,2
g_bb4bf7c771b64bdc,uc3m,3,3,3,0
g_cf2bc8f1648a356b,cv,3,3,0,0
g_dd36d2a1a38ff1b4,uc3m,3,3,2,1
g_e1ff61595883dda9,uc3m,3,4,1,2
g_e44d886359bfef04,uc3m,3,4,3,0
g_e513a7bc141a0916,uc3m,3,5,3,0
g_e8a4da810cc9899a,uc3m,3,4,2,1
g_e9da815b88d5cf62,uc3m,3,3,2,1
g_f81eca25ef94684e,uc3m,3,4,1,2
g_fa37d6399b69003b,uc3m,3,3,2,1
g_fa3970479cb91da7,uc3m,3,8,2,1
g_fda7c4ac9a53c5ca,uc3m,3,5,3,0
g_003967677d8c9593,uc3m,2,3,1,1
g_015b937769ea72d8,uc3m,2,3,2,0
g_0841247a9df64cc2,uc3m,2,2,2,0
g_0aef3f6293bb5357,uc3m,2,3,2,0
g_0d8a111338bb81f6,uc3m,2,2,2,0
g_0d8b69c521cb3b8a,uc3m,2,3,0,2
g_16824139835dae46,uc3m,2,2,2,0
g_1743d1eb00f6f58a,uc3m,2,2,0,2
g_1756d76d4ebcce0a,uc3m,2,2,1,1
g_1d6ef6067d5ccd56,uc3m,2,2,2,0
g_1e97201a204de209,uc3m,2,3,2,0
g_1f0ffa9023182c94,uc3m,2,2,2,0
g_2255e51bf848a05d,uc3m,2,3,1,1
g_24f9fd1c1659167c,uc3m,2,2,2,0
g_26f8c0b723fd70c9,uc3m,2,2,2,0
g_2736587c1d871eee,uc3m,2,2,2,0
g_28c270f07a2ecfdb,uc3m,2,2,1,1
g_29ae430de58c80df,cv,2,2,0,0
g_2cb167b102dd921e,uc3m,2,2,2,0
g_312c33aee2a08820,uc3m,2,2,2,0
g_32314947ebbbc39f,uc3m,2,3,2,0
g_32ebcb5e1d938ce6,cv,2,2,0,0
g_3707c7e2869203bf,uc3m,2,2,1,1
g_39869c643527b7ce,cv,2,2,0,0
g_3b1a1bf86102b810,uc3m,2,2,1,1
g_3f66a52f545109be,uc3m,2,3,2,0
g_457b4ae613d710aa,uc3m,2,2,2,0
g_464bf6623ec08c84,uc3m,2,3,1,1
g_46ea5cdf181a6252,uc3m,2,3,2,0
g_475c9dc50d695581,cv,2,2,0,0
g_4d15b22ae44f04a9,uc3m,2,2,2,0
g_4eb97eb9c269f710,uc3m,2,2,2,0
g_502fcbdb4a6e309e,uc3m,2,4,1,1
g_557da73051864ee4,uc3m,2,2,1,1
g_564e0b8998844eb7,uc3m,2,3,2,0
g_5700621a9fb114f9,cv,2,2,0,0
g_58f9ba9d6f693f59,uc3m,2,3,1,1
g_59c62ab3309f8134,uc3m,2,2,2,0
g_603a109a52692438,uc3m,2,2,2,0
g_6140090251ea361e,uc3m,2,4,2,0
g_6159ba5966db9a9a,uc3m,2,3,2,0
g_65254900363ea2b6,uc3m,2,2,2,0
g_678483645275dc54,uc3m,2,3,1,1
g_680a407d4782c4f4,cv,2,2,0,0
g_6a160d8996eab0e7,uc3m,2,2,2,0
g_6a6ab2aac5f67a0f,uc3m,2,2,1,1
g_6b2c5def79bd6a5c,uc3m,2,2,2,0
g_6cc0909dcbac7b5b,uc3m,2,2,2,0
g_6d5d1b36fe17dfff,uc3m,2,3,2,0
g_6e1c37d298127f44,uc3m,2,2,2,0
g_70df62612d6a0dd5,cv,2,2,0,0
g_71dabbb44af59b41,uc3m,2,2,1,1
g_75948f0bdf3418ed,cv,2,2,0,0
g_77c8cec6ee7ebc08,uc3m,2,7,2,0
g_7acbe4a88f9f98c0,uc3m,2,2,1,1
g_7bef83b0b269d2ec,uc3m,2,3,1,1
g_7cad71e343c04766,uc3m,2,3,2,0
g_7d1adb4d8037d4f7,uc3m,2,2,0,2
g_8084bc772912575f,uc3m,2,2,1,1
g_80f9dbe67dcbbb0a,uc3m,2,2,1,1
g_833a6ad539c28799,uc3m,2,2,1,1
g_83b02c9a879496a2,uc3m,2,2,2,0
g_86e97cfb9f165cdb,uc3m,2,2,2,0
g_88b4f99ea1d38505,uc3m,2,3,1,1
g_88e4fcb5d16c31e8,cv,2,2,0,0
g_8f56fe98d8585d91,uc3m,2,2,2,0
g_95d2d33453f7d073,uc3m,2,2,1,1
g_9678fb1424b36e25,uc3m,2,2,2,0
g_975a16bc12ffd1f2,uc3m,2,2,1,1
g_97f18ba5e5853a57,uc3m,2,2,2,0
g_980a3a82732d38f0,uc3m,2,2,2,0
g_9b1f16c8f800422b,uc3m,2,2,2,0
g_9c7b02e054d69938,uc3m,2,2,1,1
g_9d5f5dd82accc91f,uc3m,2,3,2,0
g_9ee66c1f60cabacf,uc3m,2,2,2,0
g_a0bfaa86e36ec071,uc3m,2,2,1,1
g_a3bbc87b15eefb0f,uc3m,2,2,2,0
g_a44b008226ef47a9,uc3m,2,2,2,0
g_a48b21db69ab521d,uc3m,2,2,2,0
g_ab3fbae322d6aa27,uc3m,2,2,2,0
g_abdb3f0d916a5dc8,uc3m,2,2,2,0
g_ae1c8c8a5157f30d,uc3m,2,2,2,0
g_ae83e88f7f2abdc0,uc3m,2,2,1,1
g_af545d5ef418b45d,uc3m,2,4,2,0
g_b0b6c960b63e5fed,uc3m,2,3,1,1
g_b38f58b9761d6819,uc3m,2,2,2,0
g_b5218fc4f7782fd5,cv,2,2,0,0
g_b5731532f5efdb3a,uc3m,2,3,0,2
g_b744ccc6e052e7c5,uc3m,2,3,2,0
g_b7c02cfbbc36da49,uc3m,2,2,2,0
g_b7fe7d65df7eb34f,uc3m,2,2,1,1
g_b9ed5f5d7f8c7642,uc3m,2,2,2,0
g_bb93fe1a42225c2c,cv,2,2,0,0
g_c2f96a6ace95f689,uc3m,2,2,2,0
g_c4e5bca7aff8b8de,uc3m,2,2,2,0
g_c626de63d6c82b24,uc3m,2,2,2,0
g_ca8b9e80f1983347,uc3m,2,3,2,0
g_cab25b4e111ee229,uc3m,2,2,0,2
g_cb5cb2a043c266fc,uc3m,2,2,1,1
g_cd9c24cfd91d5dd4,cv,2,2,0,0
g_ce2f7f6e30333adf,uc3m,2,2,1,1
g_cecb595b71c934d4,uc3m,2,2,2,0
g_d214e0e348469bc9,uc3m,2,3,2,0
g_d2b5087aa348ee90,uc3m,2,2,2,0
g_d30a3049e79bfee9,cv,2,2,0,0
g_d55e1408d8b1d3c6,uc3m,2,2,2,0
g_d6881f77d009cf84,uc3m,2,2,1,1
g_db9dcb4df4a9b09b,uc3m,2,3,2,0
g_dbfb1dd186c62510,uc3m,2,2,2,0
g_e15a37e33d24ea49,uc3m,2,2,2,0
g_e3988ff80f746a5c,uc3m,2,2,1,1
g_e6e25630dbf0c4b7,uc3m,2,2,2,0
g_e82ade758091fe84,uc3m,2,2,2,0
g_e8c6cf8d1611c9a2,cv,2,2,0,0
g_e953d1bcbfcfa9ea,uc3m,2,3,1,1
g_ea2f4fcb5ac7a317,uc3m,2,2,2,0
g_ec9ae9e2b2198d46,uc3m,2,3,2,0
g_ecc99e3615aac864,uc3m,2,2,2,0
g_f2e2ba4d588a21a4,uc3m,2,2,0,2
g_f3086063c2f08bb6,uc3m,2,3,2,0
g_f6e8daced5ec39af,uc3m,2,2,2,0
g_fb4d197f47154192,uc3m,2,3,1,1
g_fd8fa20e35a361ef,uc3m,2,2,2,0
g_fdf3e89298f98898,cv,2,2,0,0
g_ff88b29a970aa699,uc3m,2,2,1,1
g_ffa52268b1d7e168,uc3m,2,2,2,0
g_00c16f5c2b91ddd7,uc3m,1,1,1,0
g_00dafcb5a0922bbb,uc3m,1,1,1,0
g_011e6ef32d0c8209,uc3m,1,1,1,0
g_012b2e3bc4717079,uc3m,1,1,1,0
g_01fc93b056a64b58,uc3m,1,1,0,1
g_020d17ea7cf8f48d,uc3m,1,1,1,0
g_033d06c0e216dd5b,uc3m,1,1,1,0
g_037cf302f610ece5,uc3m,1,1,1,0
g_039542272b8eb35d,uc3m,1,3,1,0
g_0398aaddde83ce68,cv,1,1,0,0
g_03cd15efc2345d87,uc3m,1,2,1,0
g_03eed08d7ef15e2e,uc3m,1,1,1,0
g_042bfe5aec5ad0a4,uc3m,1,2,0,1
g_046478c0750d32f6,uc3m,1,1,1,0
g_0495ead3bdd2d6c3,uc3m,1,1,1,0
g_04f891e3a619a75d,uc3m,1,1,1,0
g_0517a8fef7ff5382,uc3m,1,1,1,0
g_05713e63f1350ed8,uc3m,1,1,1,0
g_057a8fe0b59502da,uc3m,1,1,1,0
g_06e0ff101714715e,uc3m,1,1,0,1
g_07013c75bd4b0cab,uc3m,1,1,0,1
g_072a6bfb40d747e5,uc3m,1,1,1,0
g_072e2a674765eacf,uc3m,1,1,1,0
g_0739e8b3f9437474,uc3m,1,1,1,0
g_08104aa81a9478e3,uc3m,1,1,1,0
g_08abb331d30cfc83,uc3m,1,1,1,0
g_08d397fbcf243def,uc3m,1,1,1,0
g_08d8792f01ab60de,uc3m,1,1,1,0
g_09232700f05ecdaa,uc3m,1,1,1,0
g_0972b6171a72f49e,uc3m,1,1,1,0
g_09a89a78e67328ba,uc3m,1,1,1,0
g_0a4c794a24046bf2,uc3m,1,1,1,0
g_0aba58a16a6a1ec9,uc3m,1,1,1,0
g_0b26d05c94680e1b,uc3m,1,1,1,0
g_0b4d166cb6f166ad,uc3m,1,1,1,0
g_0b6c514e23ea167a,uc3m,1,1,0,1
g_0b9be6a472916c6e,uc3m,1,1,1,0
g_0c0c0ffaeed97bf4,uc3m,1,1,1,0
g_0c26ad1689f1db48,cv,1,1,0,0
g_0c63be3816d4c22e,uc3m,1,1,1,0
g_0cf5bfc272e8447c,cv,1,1,0,0
g_0d3f0f573cd9faa8,uc3m,1,1,1,0
g_0df3c4a6c8beeee0,cv,1,1,0,0
g_0df659fb96bfe944,cv,1,1,0,0
g_0e31088916e11dde,cv,1,1,0,0
g_0e9e61a801a6b084,uc3m,1,1,1,0
g_0eab83ce596db867,uc3m,1,1,1,0
g_0efeeff2c6f79c64,uc3m,1,1,1,0
g_0f14e59ce1982c2e,uc3m,1,1,1,0
g_0f1558b5a1b288f2,uc3m,1,1,1,0
g_0f36223fe4e11814,uc3m,1,1,1,0
g_0f4167fcfd4602aa,uc3m,1,1,1,0
g_0fab81e637b60619,cv,1,1,0,0
g_1004881cc49bffdc,uc3m,1,1,1,0
g_107ab420bd194b53,uc3m,1,1,0,1
g_10e056f6e7b15e6f,uc3m,1,1,1,0
g_11286a3bb5b3f16b,uc3m,1,1,1,0
g_117d05648e4096fc,uc3m,1,1,1,0
g_11ba3cca6815d85e,uc3m,1,1,1,0
g_11d68bad719deb9d,uc3m,1,1,1,0
g_11da0328ac916bc3,uc3m,1,1,0,1
g_12507700c4e27ef4,uc3m,1,1,0,1
g_12b0244ace1eeb09,uc3m,1,1,1,0
g_13210fd980886052,uc3m,1,1,0,1
g_134d92f1b8870e92,uc3m,1,1,1,0
g_136e2f1dfefa8a2d,uc3m,1,1,1,0
g_13acec68d6e63d41,uc3m,1,1,1,0
g_13be725a1e0c16de,uc3m,1,1,1,0
g_13caadef5aaf09ac,uc3m,1,1,1,0
g_141f1ae954b80131,uc3m,1,1,1,0
g_142bb918a4d7df43,uc3m,1,1,1,0
g_1474fe863ffce91f,uc3m,1,1,0,1
g_147948eedfc99879,uc3m,1,1,1,0
g_1487f14eaa20f9a0,uc3m,1,1,1,0
g_1512a85a333a1a3c,uc3m,1,1,1,0
g_15862eeafc5f1b97,uc3m,1,1,0,1
g_159310b99c126c3d,uc3m,1,1,0,1
g_161766f54efecc1f,uc3m,1,1,0,1
g_165d2afaa1f5aaeb,uc3m,1,1,1,0
g_166585cbe4bb5790,uc3m,1,1,1,0
g_1707405259c103dc,uc3m,1,1,1,0
g_179a0f804644bb4c,uc3m,1,1,0,1
g_17d8df1c7d99eebb,uc3m,1,1,1,0
g_1828e214e8da119b,uc3m,1,1,0,1
g_18555c4cbe6f01ba,uc3m,1,1,1,0
g_185c91c962627742,uc3m,1,1,0,1
g_18b3b1074e236f2f,uc3m,1,1,1,0
g_198f5ad19888db40,uc3m,1,1,1,0
g_19a0204a18559ae9,uc3m,1,1,1,0
g_19b45ba50f0778fd,uc3m,1,1,1,0
g_19d81d8ab0c6f565,uc3m,1,1,1,0
g_1a238ab5e4af9042,uc3m,1,1,1,0
g_1a4f48270f6fff1e,uc3m,1,1,1,0
g_1a5d1d33d2194279,cv,1,1,0,0
g_1a78a211fb8ce450,uc3m,1,1,1,0
g_1afde229f715156b,uc3m,1,2,1,0
g_1b08e922e439c182,cv,1,1,0,0
g_1b1832f3503c86bc,uc3m,1,1,1,0
g_1b52b914a0e490b3,uc3m,1,1,1,0
g_1bf238af44023fa1,uc3m,1,1,1,0
g_1c738f6e86349f6d,uc3m,1,2,1,0
g_1c9a15a948802e1e,uc3m,1,1,0,1
g_1cb44c27226db6aa,cv,1,1,0,0
g_1cc6185d6c0722e7,uc3m,1,1,0,1
g_1cfb383e008fa09d,uc3m,1,1,1,0
g_1d30970fcdd73541,uc3m,1,2,1,0
g_1d89cef50ce7df18,uc3m,1,2,1,0
g_1e0c51ba43322867,uc3m,1,1,0,1
g_2008d11621ae64a1,cv,1,1,0,0
g_201efa178e79c545,uc3m,1,1,1,0
g_20d184c72120ca53,uc3m,1,2,1,0
g_211688dd94356881,uc3m,1,1,1,0
g_21900950d4eb2306,uc3m,1,1,1,0
g_223080cce5785456,uc3m,1,1,1,0
g_2240ba13e56a4dc9,uc3m,1,1,1,0
g_22846a3d360bf0bc,uc3m,1,1,1,0
g_228cfa24af9d2d24,uc3m,1,1,1,0
g_22c30033f5f80741,uc3m,1,1,1,0
g_239f6d7028377f8d,uc3m,1,1,1,0
g_2412673ee262a31f,uc3m,1,1,1,0
g_24133d453dddc14a,uc3m,1,1,0,1
g_2438c596b807f186,uc3m,1,2,1,0
g_2446d817e926f91d,uc3m,1,1,1,0
g_24dd4d4e6b61dab1,uc3m,1,1,1,0
g_2634685611d05954,uc3m,1,1,0,1
g_264d0307dbe5f996,uc3m,1,1,1,0
g_2665aaec4dccdaa5,uc3m,1,1,0,1
g_26a9bb9d8833411a,uc3m,1,1,1,0
g_26eb06d13e05074d,uc3m,1,1,1,0
g_27033397c738a48f,uc3m,1,2,1,0
g_275023b6d742bd23,uc3m,1,1,1,0
g_2753637276473e50,uc3m,1,1,1,0
g_27924de0dce567cb,uc3m,1,1,1,0
g_27ad1ef8e658845d,uc3m,1,1,1,0
g_27b86c954d814bb1,uc3m,1,2,1,0
g_282ab8f084933b3d,uc3m,1,1,1,0
g_286e141dd8cf042e,uc3m,1,1,1,0
g_28833c9ccbfb9ddf,uc3m,1,1,1,0
g_28af0a82a13fda2b,uc3m,1,1,1,0
g_28b92d76cb44bf37,uc3m,1,1,1,0
g_29679f544cec10f3,uc3m,1,1,1,0
g_296df5178a1851ff,uc3m,1,1,0,1
g_2a6c45a58ae36fdc,uc3m,1,1,0,1
g_2ab40ee676bfda1a,uc3m,1,1,1,0
g_2ad0fb66492c8c94,uc3m,1,2,1,0
g_2b214e141e54dd43,uc3m,1,1,0,1
g_2b86b94de2b07d01,uc3m,1,1,1,0
g_2bbbf150cc8e8f75,uc3m,1,1,0,1
g_2bca3ae7aa74ce8f,uc3m,1,1,0,1
g_2bcb19c0a4ddcfce,uc3m,1,1,0,1
g_2bf21165b52dd6d5,uc3m,1,1,1,0
g_2c0fed6c46311683,uc3m,1,3,1,0
g_2c75cd8944463a44,uc3m,1,1,1,0
g_2cfeb0262d493d06,uc3m,1,1,1,0
g_2d0629130285ba4a,uc3m,1,1,1,0
g_2d299bd0673e04d4,uc3m,1,1,1,0
g_2d6bb5a19ee774e9,uc3m,1,1,1,0
g_2dcc4521e81b8733,uc3m,1,1,1,0
g_2de94025286dcf6b,uc3m,1,1,1,0
g_2df3f494505c4cd6,uc3m,1,1,0,1
g_2dff9055934e406b,uc3m,1,2,0,1
g_2e2199cff1e96d16,uc3m,1,1,1,0
g_2e4639fc381588b4,uc3m,1,1,0,1
g_2ea7e13e08166034,uc3m,1,1,0,1
g_2f0d294a48fbb812,uc3m,1,1,1,0
g_2f32eab3548ef62b,uc3m,1,1,1,0
g_2f4e2c350c05f648,uc3m,1,1,1,0
g_2f9ae78dd05b5f16,uc3m,1,1,1,0
g_2fc142705d213198,uc3m,1,1,1,0
g_306ff79f0b00fc32,uc3m,1,1,1,0
g_31b406b23de0f030,uc3m,1,1,0,1
g_3227bcf94775de19,uc3m,1,1,1,0
g_325817b0da3ce637,uc3m,1,1,1,0
g_3267ba683dd984ab,uc3m,1,1,1,0
g_32881211d72a7ebc,uc3m,1,1,0,1
g_3310c68b7a01a0c0,uc3m,1,1,1,0
g_334bb6075c1d04b8,uc3m,1,1,1,0
g_339ae7b778813502,uc3m,1,1,0,1
g_33dec4e324057667,uc3m,1,1,1,0
g_348e5f6afba5aedf,uc3m,1,1,1,0
g_3508f7ebed9213e2,uc3m,1,1,0,1
g_3524d75100b14cc6,uc3m,1,1,1,0
g_35f3ba3f8fa8f8da,uc3m,1,1,1,0
g_368ed23a0052492d,uc3m,1,1,1,0
g_372eaa5fb5c1f0ea,uc3m,1,1,1,0
g_3758d32e9549af02,uc3m,1,1,1,0
g_378fa1fa38965b10,uc3m,1,1,0,1
g_381c6879eb9562b0,uc3m,1,1,1,0
g_387bebfef2be21ef,cv,1,1,0,0
g_38f2980c265a9dee,uc3m,1,1,1,0
g_38fd978aecd06c74,uc3m,1,1,1,0
g_39123b7262be4397,uc3m,1,2,1,0
g_3967c6dbcfef2916,uc3m,1,1,0,1
g_398a40e22791007f,uc3m,1,1,1,0
g_39a765a17e755f8d,cv,1,1,0,0
g_3a7246ba9cef205a,uc3m,1,1,1,0
g_3ac7d3e44d4e5109,uc3m,1,1,1,0
g_3b6f8567acd77b95,uc3m,1,1,1,0
g_3bbc7bf16d85e4fa,uc3m,1,1,1,0
g_3c3d25882f735100,uc3m,1,1,1,0
g_3cacf9a85c8f93bb,uc3m,1,1,1,0
g_3d25c5606232d0fd,uc3m,1,1,1,0
g_3dc7d5715b240cfe,uc3m,1,1,1,0
g_3e72e21d47acd397,uc3m,1,1,1,0
g_3e94fb94d39c0ccd,cv,1,1,0,0
g_3f9c78b8c0748d16,uc3m,1,1,1,0
g_3fa0afaf081864b7,uc3m,1,1,0,1
g_40a46c0362e8367e,uc3m,1,1,1,0
g_40f106286f2e9765,uc3m,1,2,0,1
g_40f6206a4b435738,uc3m,1,1,0,1
g_4127f0094ea40c95,uc3m,1,1,1,0
g_4150d5a46c487508,uc3m,1,1,1,0
g_42130e30b19f2c3d,uc3m,1,1,1,0
g_424befa805e556a8,uc3m,1,1,0,1
g_42d05f6b4e3bf2e5,uc3m,1,1,0,1
g_431c133d26ecfe2d,uc3m,1,1,1,0
g_431f161890bc3c41,uc3m,1,1,1,0
g_4323fb379a850c5a,uc3m,1,1,1,0
g_4355e24715753d84,uc3m,1,2,0,1
g_436e33b4309d2966,uc3m,1,1,1,0
g_43f53a74304b8c2e,uc3m,1,1,1,0
g_445128cc6203552f,uc3m,1,1,1,0
g_446ff16af3ab0bec,uc3m,1,1,1,0
g_450ff256c42c4e3f,uc3m,1,1,1,0
g_4518c445105f01b8,uc3m,1,1,1,0
g_4559da49cf121efd,uc3m,1,1,0,1
g_4584e6620cd104e4,uc3m,1,1,1,0
g_45e55e41a8977e80,uc3m,1,1,1,0
g_4622896c0fa21b6e,uc3m,1,1,1,0
g_467ac0737e2d09d9,cv,1,1,0,0
g_47134c4eb3db8f64,cv,1,1,0,0
g_475ed4f285b7de0c,uc3m,1,1,1,0
g_476286df853e7a2f,uc3m,1,1,1,0
g_477b389eea5648d6,uc3m,1,1,1,0
g_47881f0abcc5e836,uc3m,1,1,1,0
g_48d57a597e2de6aa,uc3m,1,1,1,0
g_49abae88f908ca1b,uc3m,1,1,1,0
g_49cd9b369c562a62,uc3m,1,1,0,1
g_4a03221287bd54b8,uc3m,1,1,1,0
g_4a0aac3dad79e4f4,uc3m,1,1,1,0
g_4a2d43d9a3120c49,uc3m,1,1,1,0
g_4be04a5f14ee9f55,uc3m,1,1,1,0
g_4beec00da851d930,uc3m,1,1,1,0
g_4c219df06131dcb7,uc3m,1,1,1,0
g_4c34e512be3d09a6,uc3m,1,1,1,0
g_4c8e5f6a41e9d88d,uc3m,1,1,1,0
g_4cf9a0beaa01788c,uc3m,1,1,1,0
g_4d3d6447d8bce859,uc3m,1,1,1,0
g_4d6b66d52865ea31,uc3m,1,1,1,0
g_4e713bf95af7f88f,uc3m,1,1,0,1
g_4ec2f2e0a15ba086,uc3m,1,1,0,1
g_4f600c0d29da140f,uc3m,1,1,0,1
g_500866df4215b104,uc3m,1,1,0,1
g_50296bc68897d458,uc3m,1,1,1,0
g_506d0aeb1b325363,uc3m,1,1,0,1
g_5085f8a348f653f5,uc3m,1,1,1,0
g_50aa07028d455ac5,cv,1,1,0,0
g_50aec4171c53281d,uc3m,1,1,1,0
g_514ebc4ce5cad9d9,uc3m,1,1,1,0
g_515b9b8d7ab2c43f,uc3m,1,1,1,0
g_5165fe261840ea45,uc3m,1,1,1,0
g_5228ebdc6da05cf6,uc3m,1,1,1,0
g_5229cac41aa9e183,uc3m,1,1,1,0
g_529ba3d446107111,uc3m,1,1,1,0
g_532adf41b5309ad3,uc3m,1,1,1,0
g_537bd1f5382f5c7a,uc3m,1,2,1,0
g_53854d92435b6190,uc3m,1,1,0,1
g_53a934b4148ac664,uc3m,1,1,1,0
g_53f4d46587bcf6b9,uc3m,1,1,0,1
g_53fd4ee9263d0dbf,uc3m,1,1,1,0
g_54276ee3672ee45d,uc3m,1,1,1,0
g_544c7cfd2fc26d7b,uc3m,1,1,1,0
g_550bf245163a75c6,uc3m,1,1,1,0
g_554e51f959a1b90a,uc3m,1,1,1,0
g_55506dca76f2bc04,uc3m,1,1,1,0
g_56023bebc42be4fd,uc3m,1,1,1,0
g_56800da2eb45d829,uc3m,1,1,0,1
g_56838cb296081d94,uc3m,1,1,1,0
g_56b9869bb95078a4,uc3m,1,1,1,0
g_56e715ce5536fe66,uc3m,1,1,1,0
g_57064922c84fe515,uc3m,1,1,1,0
g_57d315eb04533907,uc3m,1,1,1,0
g_5814415e1097178a,uc3m,1,1,1,0
g_588c97f5df72c859,uc3m,1,1,1,0
g_58a58f30ab8f9c03,uc3m,1,1,1,0
g_5907fa5f8c7d3d19,uc3m,1,1,1,0
g_591ba9d9dddc75e4,uc3m,1,1,1,0
g_5a3283d470391190,uc3m,1,1,0,1
g_5ab6af9c6f996954,uc3m,1,1,1,0
g_5b55ae708e98e325,uc3m,1,1,1,0
g_5bad1377dc6691d1,uc3m,1,1,0,1
g_5c01f4398afc6385,uc3m,1,1,1,0
g_5c240f4559ef914f,uc3m,1,1,1,0
g_5d2d421203c7e373,uc3m,1,1,1,0
g_5d3c3b694fef379e,uc3m,1,1,1,0
g_5d907b646f3d3fee,uc3m,1,1,1,0
